,ID,age,gender,word,response,correct,rt,block,trial
173,20,21,Female,Akademiker,e,1,1.0068543644010788,7,26.0
174,20,21,Female,Ægteskab,i,1,0.756461666431278,7,27.0
175,20,21,Female,Ole,e,1,0.7378165457921568,7,28.0
176,20,21,Female,Mette,i,1,0.6409924012987176,7,29.0
177,20,21,Female,Hjem,i,1,0.8654518614785047,7,30.0
178,20,21,Female,Jens,e,1,0.5621971093787579,7,31.0
179,20,21,Female,Slægtninge,i,1,0.7477446642296854,7,32.0
180,20,21,Female,Akademiker,e,1,0.681997654523002,7,33.0
181,20,21,Female,Sebastian,i,0,1.5437559239508118,7,34.0
182,20,21,Female,Hjem,i,1,1.0795374018052826,7,35.0
183,20,21,Female,Josefine,i,1,1.3780534497636836,7,36.0
184,20,21,Female,Mikkel,e,1,0.8448602084536105,7,37.0
185,20,21,Female,Line,i,1,0.8258875420142431,7,38.0
186,20,21,Female,Casper,e,1,1.9738597032992402,7,39.0
187,20,21,Female,Bryllup,i,1,1.1155821658030618,7,40.0
