"","ID","age","gender","rt_dif","benevolent_score","hostile_score","DB","DB_conf","DB_skill"
"44",45,24,"Male",-0.104125764314645,1.45454545454545,1.36363636363636,-0.105192520947805,0.0140702762802101,3.3886301009828e-05
"45",46,27,"Female",-0.00745681619276483,0.636363636363636,1,0.0686553756835487,-0.02686968487069,0.00333691375597139
"46",47,24,"Male",-0.123019937539908,1.63636363636364,2,-0.047301646285318,0.047035543365092,0.00645420987455084
"47",48,23,"Female",-0.0292750268777654,1.63636363636364,2.90909090909091,-0.077225422727902,-0.126235832016966,-0.00585335795969589
"48",49,20,"Male",0.0325936618319668,3.18181818181818,2.27272727272727,0.0638385973630477,-0.000684540077787728,-0.00560615764784843
"49",50,22,"Female",0.00270648187406894,1.36363636363636,1.72727272727273,0.0655927115125513,0.00734240980540586,-0.00722486344937769
"50",51,20,"Male",0.0100288735533058,2.72727272727273,1.72727272727273,-0.00679937387935088,-0.0165301359639151,-0.00349764353951831
"51",52,22,"Female",0.00298308896326294,1.63636363636364,2,0.055517482780533,0.0104327826452634,-0.00690423748144192
"52",53,18,"Male",0.0145787584830654,2.45454545454545,1,0.11188237537374,-0.03428304621562,0.00751232921606773
"53",54,18,"Female",-0.0858843538235141,1.18181818181818,1,0.019272553077234,-0.00848893706890525,0.00714391289578596
"54",55,21,"Male",0.0883154792648087,2.18181818181818,1.63636363636364,-0.0211168148611956,0.0220350489419393,-0.00286715399753602
"55",56,22,"Female",-0.0264208471320439,1.45454545454545,2.81818181818182,-0.0465739010272284,0.00425559955854518,-0.00437135481986902
"56",57,22,"Male",-0.0720878467096009,1.27272727272727,0.545454545454545,0.113473353027045,0.00216859432493499,0.00107764840423905
"57",58,21,"Female",0.0822430533096927,1.27272727272727,2,0.195453519457642,-0.107645055201329,0.00708323643036256
"58",59,21,"Male",-0.0030189346995862,2.63636363636364,1.54545454545455,0.0160294599493657,0.0194265567699308,-0.00351979968625738
"59",60,21,"Female",-0.00392920019498307,2.45454545454545,1.63636363636364,0.118927971585609,-0.0226973974797786,0.00205978845335053
"60",61,23,"Male",-0.0207332252927457,1.81818181818182,2.09090909090909,0.0835388611670065,-0.0223504875679786,-9.48016466624144e-05
"61",62,22,"Female",0.0775296158963406,1.45454545454545,1.45454545454545,0.0031300203814594,0.0312339122024805,0.0037164210826316
"62",63,23,"Male",0.0050807959531484,2.18181818181818,1.54545454545455,-0.0472581457769705,0.011397011108659,-0.00119339933488735
"63",64,20,"Female",-0.0666334277486581,0.818181818181818,1.18181818181818,-0.0281265680665013,0.0137353809595269,0.0109072748500665
