"","SubjectID_unique","SubjectID","Gender","Age","Image_1","Image_2","Prop_red_image_1","Prop_red_image_2","Prop_yellow_image_1","Prop_yellow_image_2","Prop_green_image_1","Prop_green_image_2","Prop_blue_image_1","Prop_blue_image_2","Response","Joint","Correct","Correct_joint","RT","RT_joint","Round","Block","group_id","diff","response_dummy","response_joint_dummy","chosen_leader","Leader_gender","Follower_gender","leader_behavior","Intercept","Slope","skill_dif","Side"
"22","3_1","3","Male",24,"Stim\r10y02g36b05.jpeg","Stim\r21y31g06b08.jpeg",10,21,2,31,36,6,5,8,2,-1,1,0,1.329,3.581,1,"blå","3_1",3,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"23","3_1","3","Male",24,"Stim\r09y06g26b32.jpeg","Stim\r03y11g01b26.jpeg",9,3,6,11,26,1,32,26,3,1,0,0,1.549,1.316,1,"blå","3_1",-6,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"24","3_1","3","Male",24,"Stim\r09y17g32b21.jpeg","Stim\r20y14g02b19.jpeg",9,20,17,14,32,2,21,19,-3,-1,1,1,1.293,1.035,1,"blå","3_1",-2,0,0,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"30","3_1","3","Male",24,"Stim\r16y09g06b10.jpeg","Stim\r21y31g06b08.jpeg",16,21,9,31,6,6,10,8,1,-1,0,1,0.987,1.848,1,"blå","3_1",-2,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"31","3_1","3","Male",24,"Stim\r06y14g31b25.jpeg","Stim\r09y15g18b07.jpeg",6,9,14,15,31,18,25,7,3,1,1,1,1.654,1,1,"gul","3_1",1,1,1,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"32","3_1","3","Male",24,"Stim\r06y19g29b08.jpeg","Stim\r22y23g20b06.jpeg",6,22,19,23,29,20,8,6,2,-1,1,0,1.066,1.032,1,"gul","3_1",4,1,0,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"36","3_1","3","Male",24,"Stim\r04y39g24b15.jpeg","Stim\r13y33g08b23.jpeg",4,13,39,33,24,8,15,23,-4,-1,1,1,1.042,4.111,1,"gul","3_1",-6,0,0,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"37","3_1","3","Male",24,"Stim\r09y02g05b02.jpeg","Stim\r03y06g12b09.jpeg",9,3,2,6,5,12,2,9,-1,1,0,1,1.305,1.346,1,"gul","3_1",4,0,1,"Left_lead","Male","Male","surrender",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"38","3_1","3","Male",24,"Stim\r11y10g06b19.jpeg","Stim\r05y09g02b34.jpeg",11,5,10,9,6,2,19,34,-2,-1,1,1,1.349,1.659,1,"grøn","3_1",-4,0,0,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"41","3_1","3","Male",24,"Stim\r15y05g12b10.jpeg","Stim\r08y23g10b29.jpeg",15,8,5,23,12,10,10,29,-3,-1,1,1,1.011,1.38,1,"grøn","3_1",-2,0,0,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"45","3_1","3","Male",24,"Stim\r07y06g08b05.jpeg","Stim\r16y09g06b10.jpeg",7,16,6,9,8,6,5,10,-4,-1,1,1,1.435,0.868,1,"grøn","3_1",-2,0,0,"Left_lead","Male","Male","stick",0.326793111350138,0.201189750251438,1.02892387375612,"left"
"49","4_2","4","Female",23,"Stim\r10y27g22b14.jpeg","Stim\r13y33g08b23.jpeg",10,13,27,33,22,8,14,23,3,1,1,1,2.001,2.105,2,"rød","4_1",3,1,1,"Left_lead","Female","Male","stick",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"51","4_2","4","Female",23,"Stim\r05y40g33b16.jpeg","Stim\r04y16g13b13.jpeg",5,4,40,16,33,13,16,13,2,1,0,0,1.47,3.892,2,"rød","4_1",-1,1,1,"Left_lead","Female","Male","stick",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"52","4_2","4","Female",23,"Stim\r11y14g08b23.jpeg","Stim\r09y15g18b07.jpeg",11,9,14,15,8,18,23,7,-2,-1,1,1,1.539,3.311,2,"rød","4_1",-2,0,0,"Left_lead","Female","Male","stick",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"54","4_2","4","Female",23,"Stim\r10y07g11b10.jpeg","Stim\r10y03g03b07.jpeg",10,10,7,3,11,3,10,7,-2,1,1,0,1.933,3.532,2,"blå","4_1",-3,0,1,"Left_lead","Female","Male","surrender",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"55","4_2","4","Female",23,"Stim\r21y01g04b27.jpeg","Stim\r15y17g24b30.jpeg",21,15,1,17,4,24,27,30,1,-1,1,0,1.821,5.512,2,"blå","4_1",3,1,0,"Left_lead","Female","Male","surrender",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"57","4_2","4","Female",23,"Stim\r12y09g30b18.jpeg","Stim\r11y10g06b19.jpeg",12,11,9,10,30,6,18,19,4,1,1,1,1.703,1.51,2,"blå","4_1",1,1,1,"Left_lead","Female","Male","stick",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"59","4_2","4","Female",23,"Stim\r22y35g09b11.jpeg","Stim\r13y33g08b23.jpeg",22,13,35,33,9,8,11,23,-1,1,1,0,2.159,4.01,2,"gul","4_1",-2,0,1,"Left_lead","Female","Male","surrender",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"61","4_2","4","Female",23,"Stim\r09y15g18b07.jpeg","Stim\r17y12g19b18.jpeg",9,17,15,12,18,19,7,18,-2,-1,1,1,1.804,4.565,2,"gul","4_1",-3,0,0,"Left_lead","Female","Male","stick",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"62","4_2","4","Female",23,"Stim\r10y03g03b07.jpeg","Stim\r03y06g12b09.jpeg",10,3,3,6,3,12,7,9,2,-1,1,0,2.34,2.205,2,"gul","4_1",3,1,0,"Left_lead","Female","Male","surrender",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"64","4_2","4","Female",23,"Stim\r03y11g01b26.jpeg","Stim\r08y12g20b03.jpeg",3,8,11,12,1,20,26,3,1,1,1,1,1.976,1.407,2,"gul","4_1",1,1,1,"Left_lead","Female","Male","stick",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"65","4_2","4","Female",23,"Stim\r17y07g07b24.jpeg","Stim\r10y03g03b07.jpeg",17,10,7,3,7,3,24,7,-4,-1,1,1,1.57,1.267,2,"grøn","4_1",-4,0,0,"Left_lead","Female","Male","stick",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"66","4_2","4","Female",23,"Stim\r14y08g21b39.jpeg","Stim\r08y12g20b03.jpeg",14,8,8,12,21,20,39,3,1,1,0,0,1.022,1.394,2,"grøn","4_1",-1,1,1,"Left_lead","Female","Male","stick",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"68","4_2","4","Female",23,"Stim\r07y02g03b06.jpeg","Stim\r10y37g07b02.jpeg",7,10,2,37,3,7,6,2,-2,-1,0,0,1.665,2.355,2,"grøn","4_1",4,0,0,"Left_lead","Female","Male","stick",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"69","4_2","4","Female",23,"Stim\r10y07g11b10.jpeg","Stim\r18y19g14b27.jpeg",10,18,7,19,11,14,10,27,-2,1,0,1,1.827,2.359,2,"grøn","4_1",3,0,1,"Left_lead","Female","Male","surrender",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"71","4_2","4","Female",23,"Stim\r07y14g27b22.jpeg","Stim\r12y09g30b18.jpeg",7,12,14,9,27,30,22,18,-1,1,0,1,1.625,2.853,2,"grøn","4_1",3,0,1,"Left_lead","Female","Male","surrender",0.288760199294387,0.218347366955955,1.08398530915579,"left"
"72","9_1","9","Male",23,"Stim\r13y24g05b28.jpeg","Stim\r21y31g06b08.jpeg",13,21,24,31,5,6,28,8,3,1,1,1,1.64,2.945,1,"rød","9_11",8,1,1,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"74","9_1","9","Male",23,"Stim\r14y10g15b15.jpeg","Stim\r15y05g12b10.jpeg",14,15,10,5,15,12,15,10,4,1,1,1,1.404,2.386,1,"rød","9_11",1,1,1,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"77","9_1","9","Male",23,"Stim\r05y40g33b16.jpeg","Stim\r08y23g10b29.jpeg",5,8,40,23,33,10,16,29,4,1,1,1,3.141,3.796,1,"rød","9_11",3,1,1,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"79","9_1","9","Male",23,"Stim\r06y14g31b25.jpeg","Stim\r09y06g26b32.jpeg",6,9,14,6,31,26,25,32,4,1,1,1,1.843,1.916,1,"rød","9_11",3,1,1,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"80","9_1","9","Male",23,"Stim\r12y09g30b18.jpeg","Stim\r10y27g22b14.jpeg",12,10,9,27,30,22,18,14,4,-1,0,1,1.819,2.679,1,"blå","9_11",-4,1,0,"Left_lead","Male","Male","surrender",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"84","9_1","9","Male",23,"Stim\r17y20g40b07.jpeg","Stim\r09y07g06b09.jpeg",17,9,20,7,40,6,7,9,4,1,1,1,1.297,1.113,1,"blå","9_11",2,1,1,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"89","9_1","9","Male",23,"Stim\r08y09g09b11.jpeg","Stim\r03y06g12b09.jpeg",8,3,9,6,9,12,11,9,3,1,0,0,0.99,1.346,1,"blå","9_11",-2,1,1,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"90","9_1","9","Male",23,"Stim\r15y16g12b03.jpeg","Stim\r02y19g24b04.jpeg",15,2,16,19,12,24,3,4,-3,-1,0,0,1.417,1.41,1,"gul","9_11",3,0,0,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"92","9_1","9","Male",23,"Stim\r11y26g25b38.jpeg","Stim\r05y28g23b30.jpeg",11,5,26,28,25,23,38,30,-3,1,0,1,1.851,2.295,1,"gul","9_11",2,0,1,"Left_lead","Male","Male","surrender",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"93","9_1","9","Male",23,"Stim\r09y15g18b07.jpeg","Stim\r08y12g20b03.jpeg",9,8,15,12,18,20,7,3,-4,-1,1,1,1.379,1.562,1,"gul","9_11",-3,0,0,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"95","9_1","9","Male",23,"Stim\r21y31g06b08.jpeg","Stim\r01y27g01b01.jpeg",21,1,31,27,6,1,8,1,-4,-1,1,1,2.077,2.793,1,"gul","9_11",-4,0,0,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"96","9_1","9","Male",23,"Stim\r22y23g20b06.jpeg","Stim\r21y24g16b04.jpeg",22,21,23,24,20,16,6,4,-3,-1,0,0,1.632,1.272,1,"gul","9_11",1,0,0,"Left_lead","Male","Male","stick",0.191774498901944,0.226543558617649,1.09130818708453,"left"
"103","12_2","12","Female",24,"Stim\r14y08g21b39.jpeg","Stim\r18y13g28b06.jpeg",14,18,8,13,21,28,39,6,2,-1,1,0,1.07,4.155,2,"rød","12_11",4,1,0,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"104","12_2","12","Female",24,"Stim\r11y10g06b19.jpeg","Stim\r09y06g26b32.jpeg",11,9,10,6,6,26,19,32,1,1,0,0,1.874,5.858,2,"rød","12_11",-2,1,1,"Left_lead","Female","Male","stick",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"105","12_2","12","Female",24,"Stim\r09y17g32b21.jpeg","Stim\r13y33g08b23.jpeg",9,13,17,33,32,8,21,23,1,-1,1,0,2.503,2.395,2,"rød","12_11",4,1,0,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"106","12_2","12","Female",24,"Stim\r21y01g04b27.jpeg","Stim\r18y13g28b06.jpeg",21,18,1,13,4,28,27,6,1,-1,0,1,1.925,1.975,2,"rød","12_11",-3,1,0,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"108","12_2","12","Female",24,"Stim\r14y12g04b29.jpeg","Stim\r17y20g40b07.jpeg",14,17,12,20,4,40,29,7,1,-1,1,0,1.894,1.566,2,"rød","12_11",3,1,0,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"109","12_2","12","Female",24,"Stim\r17y22g16b15.jpeg","Stim\r13y21g23b09.jpeg",17,13,22,21,16,23,15,9,1,-1,0,1,1.435,1.53,2,"rød","12_11",-4,1,0,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"113","12_2","12","Female",24,"Stim\r07y06g08b05.jpeg","Stim\r18y13g28b06.jpeg",7,18,6,13,8,28,5,6,1,-1,1,0,1.567,1.963,2,"blå","12_11",1,1,0,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"115","12_2","12","Female",24,"Stim\r11y13g22b35.jpeg","Stim\r21y03g15b37.jpeg",11,21,13,3,22,15,35,37,-1,1,0,1,1.622,1.614,2,"blå","12_11",2,0,1,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"124","12_2","12","Female",24,"Stim\r04y28g27b06.jpeg","Stim\r10y27g22b14.jpeg",4,10,28,27,27,22,6,14,-3,1,1,0,1.434,2.728,2,"gul","12_11",-1,0,1,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"125","12_2","12","Female",24,"Stim\r13y24g05b28.jpeg","Stim\r10y27g22b14.jpeg",13,10,24,27,5,22,28,14,-1,1,0,1,0.957,2.431,2,"gul","12_11",3,0,1,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"128","12_2","12","Female",24,"Stim\r20y04g39b23.jpeg","Stim\r17y20g40b07.jpeg",20,17,4,20,39,40,23,7,-2,1,0,1,0.88,2.295,2,"grøn","12_11",1,0,1,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"129","12_2","12","Female",24,"Stim\r04y28g27b06.jpeg","Stim\r09y06g26b32.jpeg",4,9,28,6,27,26,6,32,-2,1,1,0,1.783,1.71,2,"grøn","12_11",-1,0,1,"Left_lead","Female","Male","surrender",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"132","12_2","12","Female",24,"Stim\r18y19g14b27.jpeg","Stim\r04y16g13b13.jpeg",18,4,19,16,14,13,27,13,2,1,0,0,1.37,4.438,2,"grøn","12_11",-1,1,1,"Left_lead","Female","Male","stick",0.395622718182082,0.213620502503279,0.970746357014026,"left"
"138","10_1","10","Female",26,"Stim\r09y17g32b21.jpeg","Stim\r10y37g07b02.jpeg",9,10,17,37,32,7,21,2,2,-1,1,0,4.776,13.944,1,"rød","10_12",1,1,0,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"139","10_1","10","Female",26,"Stim\r12y07g07b17.jpeg","Stim\r08y23g10b29.jpeg",12,8,7,23,7,10,17,29,2,1,0,0,1.295,3.564,1,"rød","10_12",-4,1,1,"Left_lead","Female","Female","stick",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"140","10_1","10","Female",26,"Stim\r22y35g09b11.jpeg","Stim\r21y03g15b37.jpeg",22,21,35,3,9,15,11,37,2,-1,0,1,1.439,2.497,1,"rød","10_12",-1,1,0,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"144","10_1","10","Female",26,"Stim\r17y20g40b07.jpeg","Stim\r21y24g16b04.jpeg",17,21,20,24,40,16,7,4,1,-1,0,1,2.064,3.281,1,"blå","10_12",-3,1,0,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"145","10_1","10","Female",26,"Stim\r04y16g13b13.jpeg","Stim\r14y10g15b15.jpeg",4,14,16,10,13,15,13,15,4,1,1,1,1.515,1.391,1,"blå","10_12",2,1,1,"Left_lead","Female","Female","stick",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"146","10_1","10","Female",26,"Stim\r21y24g16b04.jpeg","Stim\r09y02g05b02.jpeg",21,9,24,2,16,5,4,2,4,1,0,0,1.376,1.298,1,"blå","10_12",-2,1,1,"Left_lead","Female","Female","stick",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"147","10_1","10","Female",26,"Stim\r19y15g35b05.jpeg","Stim\r08y12g20b03.jpeg",19,8,15,12,35,20,5,3,1,-1,0,1,5.523,1.709,1,"blå","10_12",-2,1,0,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"148","10_1","10","Female",26,"Stim\r04y28g27b06.jpeg","Stim\r10y03g03b07.jpeg",4,10,28,3,27,3,6,7,4,1,1,1,1.446,3.406,1,"blå","10_12",1,1,1,"Left_lead","Female","Female","stick",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"149","10_1","10","Female",26,"Stim\r08y23g10b29.jpeg","Stim\r07y14g27b22.jpeg",8,7,23,14,10,27,29,22,3,-1,0,1,1.161,2.392,1,"blå","10_12",-7,1,0,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"153","10_1","10","Female",26,"Stim\r03y06g12b09.jpeg","Stim\r10y03g03b07.jpeg",3,10,6,3,12,3,9,7,2,-1,0,1,0.854,1.471,1,"gul","10_12",-3,1,0,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"154","10_1","10","Female",26,"Stim\r06y19g29b08.jpeg","Stim\r14y20g16b10.jpeg",6,14,19,20,29,16,8,10,-1,1,0,1,1.934,2.474,1,"gul","10_12",1,0,1,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"155","10_1","10","Female",26,"Stim\r22y02g34b05.jpeg","Stim\r10y03g03b07.jpeg",22,10,2,3,34,3,5,7,3,1,1,1,1.066,0.983,1,"gul","10_12",1,1,1,"Left_lead","Female","Female","stick",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"156","10_1","10","Female",26,"Stim\r11y26g25b38.jpeg","Stim\r11y13g22b35.jpeg",11,11,26,13,25,22,38,35,-2,1,1,0,0.873,2.12,1,"grøn","10_12",-3,0,1,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"158","10_1","10","Female",26,"Stim\r21y24g16b04.jpeg","Stim\r15y16g12b03.jpeg",21,15,24,16,16,12,4,3,-1,1,1,0,0.991,1.275,1,"grøn","10_12",-4,0,1,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"160","10_1","10","Female",26,"Stim\r14y08g21b39.jpeg","Stim\r03y06g12b09.jpeg",14,3,8,6,21,12,39,9,-1,1,1,0,0.926,5.309,1,"grøn","10_12",-9,0,1,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"162","10_1","10","Female",26,"Stim\r10y13g07b36.jpeg","Stim\r16y21g04b04.jpeg",10,16,13,21,7,4,36,4,-1,1,1,0,1.031,1.856,1,"grøn","10_12",-3,0,1,"Left_lead","Female","Female","surrender",0.352296065189777,0.216657864492136,0.939623435395404,"left"
"164","13_1","13","Male",23,"Stim\r03y06g12b09.jpeg","Stim\r07y02g03b06.jpeg",3,7,6,2,12,3,9,6,1,-1,1,0,3.281,6.032,1,"rød","13_14",4,1,0,"Left_lead","Male","Female","surrender",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"165","13_1","13","Male",23,"Stim\r18y13g28b06.jpeg","Stim\r12y07g16b25.jpeg",18,12,13,7,28,16,6,25,2,1,0,0,2.298,2.879,1,"rød","13_14",-6,1,1,"Left_lead","Male","Female","stick",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"166","13_1","13","Male",23,"Stim\r10y07g11b10.jpeg","Stim\r09y15g18b07.jpeg",10,9,7,15,11,18,10,7,-1,1,1,0,2.529,8.43,1,"rød","13_14",-1,0,1,"Left_lead","Male","Female","surrender",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"169","13_1","13","Male",23,"Stim\r04y28g27b06.jpeg","Stim\r10y27g22b14.jpeg",4,10,28,27,27,22,6,14,2,-1,1,0,1.258,4.536,1,"blå","13_14",8,1,0,"Left_lead","Male","Female","surrender",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"171","13_1","13","Male",23,"Stim\r18y19g14b27.jpeg","Stim\r05y28g23b30.jpeg",18,5,19,28,14,23,27,30,2,-1,1,0,3.325,3.016,1,"blå","13_14",3,1,0,"Left_lead","Male","Female","surrender",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"172","13_1","13","Male",23,"Stim\r09y07g06b09.jpeg","Stim\r22y35g09b11.jpeg",9,22,7,35,6,9,9,11,-2,-1,0,0,1.871,2.843,1,"blå","13_14",2,0,0,"Left_lead","Male","Female","stick",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"173","13_1","13","Male",23,"Stim\r12y09g30b18.jpeg","Stim\r09y17g32b21.jpeg",12,9,9,17,30,32,18,21,2,1,1,1,1.171,3.171,1,"blå","13_14",3,1,1,"Left_lead","Male","Female","stick",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"178","13_1","13","Male",23,"Stim\r11y14g08b23.jpeg","Stim\r12y12g14b26.jpeg",11,12,14,12,8,14,23,26,3,1,1,1,5.236,4.186,1,"blå","13_14",3,1,1,"Left_lead","Male","Female","stick",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"181","13_1","13","Male",23,"Stim\r18y19g14b27.jpeg","Stim\r08y23g10b29.jpeg",18,8,19,23,14,10,27,29,-1,1,0,1,1.731,1.489,1,"gul","13_14",4,0,1,"Left_lead","Male","Female","surrender",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"183","13_1","13","Male",23,"Stim\r13y21g23b09.jpeg","Stim\r18y19g14b27.jpeg",13,18,21,19,23,14,9,27,-4,-1,1,1,1.667,1.729,1,"gul","13_14",-2,0,0,"Left_lead","Male","Female","stick",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"184","13_1","13","Male",23,"Stim\r09y07g06b09.jpeg","Stim\r07y14g27b22.jpeg",9,7,7,14,6,27,9,22,2,-1,1,0,2.58,2.195,1,"gul","13_14",7,1,0,"Left_lead","Male","Female","surrender",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
"185","13_1","13","Male",23,"Stim\r07y14g27b22.jpeg","Stim\r11y13g22b35.jpeg",7,11,14,13,27,22,22,35,-1,-1,1,1,1.127,1.243,1,"gul","13_14",-1,0,0,"Left_lead","Male","Female","stick",-0.0117996166848813,0.215875578437123,1.09660196218623,"left"
