"","SubjectID_unique","Side","Intercept","Slope","group_id"
"90","5_2","right",-0.547706075399173,0.221756247176094,"7_5"
"91","50_1","left",-0.125354377318252,0.225521040545493,"50_52"
"92","50_2","left",0.50929717746327,0.202342397456274,"50_51"
"93","51_1","right",-0.0552581857944645,0.221952505727161,"49_51"
"94","51_2","right",0.333248683059754,0.209947912733617,"50_51"
"95","52_1","right",0.696443923102832,0.191889419666025,"50_52"
"96","52_2","right",0.52320197949192,0.226827955198297,"49_52"
"97","53_1","right",-0.0996549361036259,0.20834170022087,"56_53"
"98","53_2","left",0.231409101371602,0.213302250110446,"53_55"
"99","54_1","left",-0.183211217989822,0.216377967170709,"54_55"
"100","54_2","right",0.358036084105736,0.200182175147424,"56_54"
"101","55_1","right",0.45329690018613,0.207025854618984,"54_55"
"102","55_2","right",0.527361653871627,0.212632673473646,"53_55"
"103","56_1","left",0.129675616544238,0.223869119876993,"56_53"
"104","56_2","left",0.101365063101321,0.236235095984805,"56_54"
"105","57_1","right",0.581991536317584,0.195738486498378,"59_57"
"106","57_2","right",0.270110181705696,0.206895473039294,"60_57"
"107","58_1","right",0.0847428792288626,0.217579516442595,"60_58"
"108","58_2","right",0.331745911086164,0.221445130660659,"59_58"
"109","59_1","left",-0.29157324869694,0.225031585163392,"59_57"
"110","59_2","left",-0.684726998702924,0.248225036506952,"59_58"
"111","6_1","left",0.598264640072652,0.211206825790857,"6_5"
"112","6_2","right",-0.21901324160634,0.230576172984605,"8_6"
"113","60_1","left",0.388480855138229,0.193892900891624,"60_58"
"114","60_2","left",0.467029626377959,0.226402725889877,"60_57"
"115","61_1","left",0.423968102836009,0.190947229652626,"61_62"
"116","61_2","left",0.541107484980423,0.215508261318657,"61_63"
"117","62_1","right",0.337742633383686,0.209984769184853,"61_62"
"118","62_2","left",0.000796110702076941,0.216312855622318,"62_64"
"119","63_1","left",-0.44804210008914,0.20904261744253,"63_64"
"120","63_2","right",0.121051196246985,0.223155450887221,"61_63"
"121","64_1","right",0.0629792631888769,0.208642521073177,"63_64"
"122","64_2","right",0.0924075903138848,0.22400436048163,"62_64"
"123","7_1","left",0.437589782989298,0.214142003880795,"7_8"
"124","7_2","left",-0.0284540668878302,0.216648000779295,"7_5"
