"","ID","age","gender","word","response","correct","rt","block","trial","condition","rt_log"
"121",2,25,"Female","Ægteskab","e",1,0.584070559008978,3,17,1,-0.537733483231232
"122",2,25,"Female","Akademiker","i",1,0.949764090008102,3,18,1,-0.051541651532894
"123",2,25,"Female","Hanne","i",1,0.688798157003475,3,19,1,-0.372807001534978
"124",2,25,"Female","Sebastian","e",1,0.66116674998193,3,20,1,-0.413749201683371
"125",2,25,"Female","Josefine","i",1,0.553249539982062,4,3,1,-0.591946131534267
"126",2,25,"Female","Løn","i",1,0.610470529994927,4,4,1,-0.493525258513085
"127",2,25,"Female","Line","i",1,0.51653658298892,4,5,1,-0.660609164297721
"128",2,25,"Female","Camilla","i",1,0.442423786997097,4,6,1,-0.815487062142843
"129",2,25,"Female","Mikkel","e",1,0.518597988993861,4,7,1,-0.656626283644712
"130",2,25,"Female","Slægtninge","e",1,0.670830623013899,4,8,1,-0.399238598593419
"131",2,25,"Female","Hjem","e",1,0.479712934989948,4,9,1,-0.734567406088969
"132",2,25,"Female","Mette","i",1,0.666524606989697,4,11,1,-0.405678220330416
"133",2,25,"Female","Kontor","i",1,1.52708465899923,4,12,1,0.423360466087517
"134",2,25,"Female","Handel","i",1,0.549701462005032,4,13,1,-0.598379944477378
"135",2,25,"Female","Akademiker","i",1,0.523553307022667,4,14,1,-0.64711642573215
"136",2,25,"Female","Bryllup","e",1,1.03437775099883,4,15,1,0.0338000391556608
"137",2,25,"Female","Akademiker","i",1,0.522908407001523,4,16,1,-0.648348960270474
"138",2,25,"Female","Ægteskab","e",1,0.655340215016622,4,17,1,-0.422600765955612
"139",2,25,"Female","Mikkel","e",1,0.588334234984359,4,18,1,-0.530460065732706
"140",2,25,"Female","Ledelse","i",1,0.713478960009525,4,19,1,-0.33760233092397
"141",2,25,"Female","Birthe","i",1,0.573974575992906,4,20,1,-0.555170176338806
"142",2,25,"Female","Familie","e",1,0.786728800012497,4,21,1,-0.239871689682855
"143",2,25,"Female","Casper","e",1,0.692106132977642,4,22,1,-0.368015963769677
"144",2,25,"Female","Hjem","e",1,0.536248207004974,4,23,1,-0.623158152325969
"145",2,25,"Female","Josefine","i",1,0.53613799798768,4,24,1,-0.623363692115959
"146",2,25,"Female","Jens","e",1,0.722577649983577,4,25,1,-0.324930390744756
